Category,Nutrients_Comp,ProductName
Legumes and legume products,"Energy-102Kcal,Water-79.6g,Protein-10.9g,Fat-4.7g,CHO-4.0g,Fibre-0.0g,Ash-0.8g,Ca-164.0mg,P-142.0mg,Fe-2.6mg,Na-2.0mg,K-58.0mg,Retinol-0.0ug,Carotenes-135.0ug,Re-22.5ug,B1-0.1mg,B2-0.1mg,Niacin-0.1mg,C-0.0mg",Soya bean curd (Tau-kua)
Legumes and legume products,"Energy-306Kcal,Water-12.8g,Protein-24.2g,Fat-1.0g,CHO-50.1g,Fibre-8.4g,Ash-3.5g,Ca-90.0mg,P-240.0mg,Fe-4.1mg,Na-18.0mg,K-295.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.5mg,B2-0.2mg,Niacin-1.4mg,C-0.0mg",Lima beans (Kacang Cina) ; Phaseolus lunatus
Legumes and legume products,"Energy-26Kcal,Water-93.7g,Protein-1.9g,Fat-0.4g,CHO-3.6g,Fibre-0.0g,Ash-0.4g,Ca-66.0mg,P-27.0mg,Fe-0.4mg,Na-2.0mg,K-79.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.2mg,C-0.0mg","Soya bean curd, unsweetened (Tau-hoo-fah, tanpa gula)"
Legumes and legume products,"Energy-129Kcal,Water-74.5g,Protein-14.7g,Fat-6.9g,CHO-2.1g,Fibre-0.0g,Ash-1.8g,Ca-245.0mg,P-186.0mg,Fe-4.6mg,Na-193.0mg,K-60.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.3mg,C-0.0mg","Soya bean curd, spiced (Ngor-hiong tau-kua)"
Legumes and legume products,"Energy-67Kcal,Water-86.7g,Protein-7.2g,Fat-3.4g,CHO-2.0g,Fibre-0.0g,Ash-0.7g,Ca-135.0mg,P-96.8mg,Fe-2.2mg,Na-27.9mg,K-120.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.2mg,C-2.0mg",Soya bean curd (Tau-hoo)
"Nuts, seeds and products","Energy-469Kcal,Water-3.2g,Protein-15.2g,Fat-24.3g,CHO-47.3g,Fibre-6.3g,Ash-3.7g,Ca-201.0mg,P-675.0mg,Fe-2.3mg,Na-22.0mg,K-534.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.8mg,B2-0.1mg,Niacin-0.7mg,C-0.0mg",Brazil nut (Kacang Brazil) ; Bertholletia excelsa
"Nuts, seeds and products","Energy-579Kcal,Water-4.9g,Protein-21.2g,Fat-46.7g,CHO-18.5g,Fibre-6.4g,Ash-2.3g,Ca-43.0mg,P-365.0mg,Fe-7.7mg,Na-20.0mg,K-410.0mg,Retinol-51.0ug,Carotenes-0.0ug,Re-51.0ug,B1-0.7mg,B2-0.2mg,Niacin-2.5mg,C-60.0mg",Cashew nut (Biji gajus) ; Anacardium occidentale
"Nuts, seeds and products","Energy-554Kcal,Water-4.1g,Protein-21g,Fat-48.8g,CHO-7.8g,Fibre-15.5g,Ash-2.8g,Ca-222.0mg,P-385.0mg,Fe-3.3mg,Na-11.0mg,K-412.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.2mg,B2-0.5mg,Niacin-2.4mg,C-1.7mg",Almond (Buah badam) ; Prunus amygdalus
Legumes and legume products,"Energy-373Kcal,Water-12.3g,Protein-32.2g,Fat-13.3g,CHO-31.0g,Fibre-6.2g,Ash-5.0g,Ca-110.0mg,P-112.0mg,Fe-5.4mg,Na-36.0mg,K-386.0mg,Retinol-0.0ug,Carotenes-116.0ug,Re-19.3ug,B1-0.7mg,B2-0.2mg,Niacin-3.4mg,C-15.5mg","Soya bean, black (Kacang soya hitam)"
"Nuts, seeds and products","Energy-278Kcal,Water-65g,Protein-2.8g,Fat-28.3g,CHO-2.9g,Fibre-0.0g,Ash-1.0g,Ca-9.0mg,P-105.0mg,Fe-1.3mg,Na-14.0mg,K-399.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.4mg,C-0.0mg",Coconut milk (Santan kelapa)
Legumes and legume products,"Energy-179Kcal,Water-48g,Protein-6.7g,Fat-0.4g,CHO-37.1g,Fibre-0.0g,Ash-7.8g,Ca-64.0mg,P-24.0mg,Fe-4.0mg,Na-2,807.0mg,K-152.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-1.1mg,Niacin-0.0mg,C-0.0mg","Soya sauce, ""thick"" (viscous) (Kicap pekat)"
Legumes and legume products,"Energy-350Kcal,Water-11.1g,Protein-12.5g,Fat-0.5g,CHO-73.9g,Fibre-0.0g,Ash-2.0g,Ca-26.0mg,P-97.0mg,Fe-1.4mg,Na-684.0mg,K-79.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-2.9mg,C-0.0mg",Soya bean noodles (Mee kacang soya)
"Nuts, seeds and products","Energy-384Kcal,Water-36.7g,Protein-3.9g,Fat-33.9g,CHO-15.7g,Fibre-3.3g,Ash-6.5g,Ca-10.0mg,P-5.0mg,Fe-2.1mg,Na-26.0mg,K-295.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.4mg,C-16.8mg","Coconut (Kelapa),old ; Cocos nucifera"
"Nuts, seeds and products","Energy-357Kcal,Water-48.5g,Protein-6.8g,Fat-34.5g,CHO-4.7g,Fibre-4.6g,Ash-0.9g,Ca-9.0mg,P-102.0mg,Fe-0.5mg,Na-3.0mg,K-285.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.0mg,C-0.0mg","Coconut flesh, old (Isi kelapa tua)"
"Nuts, seeds and products","Energy-598Kcal,Water-2.1g,Protein-26g,Fat-45.0g,CHO-22.3g,Fibre-1.6g,Ash-3.0g,Ca-60.0mg,P-280.0mg,Fe-0.8mg,Na-358.0mg,K-497.0mg,Retinol-13.0ug,Carotenes-0.0ug,Re-13.0ug,B1-0.2mg,B2-0.2mg,Niacin-16.3mg,C-0.0mg",Peanut butter (Mentega kacang)
"Nuts, seeds and products","Energy-163Kcal,Water-57.2g,Protein-6.6g,Fat-0.6g,CHO-32.8g,Fibre-1.4g,Ash-1.4g,Ca-207.0mg,P-3.0mg,Fe-1.9mg,Na-39.0mg,K-100.0mg,Retinol-0.0ug,Carotenes-30.0ug,Re-5.0ug,B1-0.2mg,B2-0.1mg,Niacin-1.8mg,C-17.2mg","Jackfruit (cempedak), seed (Biji cempedak); Artocarpus integer"
"Nuts, seeds and products","Energy-22Kcal,Water-94g,Protein-0g,Fat-0.0g,CHO-5.6g,Fibre-0.0g,Ash-0.4g,Ca-14.0mg,P-12.0mg,Fe-0.1mg,Na-1.0mg,K-198.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.0mg,C-4.6mg",Coconut water (Air kelapa)
"Nuts, seeds and products","Energy-325Kcal,Water-14g,Protein-12.3g,Fat-1.2g,CHO-66.3g,Fibre-2.4g,Ash-3.8g,Ca-99.0mg,P-566.0mg,Fe-4.2mg,Na-8.0mg,K-1,113.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.7mg,B2-0.2mg,Niacin-4.4mg,C-14.5mg",Lotus seed (Biji teratai); Nelumbo nucifera
Vegetables and vegetable products,"Energy-36Kcal,Water-78.1g,Protein-1.7g,Fat-0.3g,CHO-8.2g,Fibre-2.3g,Ash-9.4g,Ca-0.0mg,P-105.0mg,Fe-3.4mg,Na-3,026.0mg,K-340.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.9mg,C-5.0mg","Radish, Chinese, pickled (Lobak dijeruk)"
Vegetables and vegetable products,"Energy-80Kcal,Water-77.9g,Protein-0.5g,Fat-0.1g,CHO-19.3g,Fibre-0.6g,Ash-1.6g,Ca-5.0mg,P-71.0mg,Fe-1.6mg,Na-222.0mg,K-16.0mg,Retinol-0.0ug,Carotenes-2.0ug,Re-0.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.7mg,C-0.6mg","Onion, small, pickled (Jeruk bawang merah)"
Vegetables and vegetable products,"Energy-32Kcal,Water-90g,Protein-3.2g,Fat-0.0g,CHO-4.8g,Fibre-1.3g,Ash-0.7g,Ca-25.0mg,P-52.0mg,Fe-0.9mg,Na-57.0mg,K-214.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.5mg,C-47.5mg",Cauliflower (Bunga kobis) ; Brassica oleracea
Vegetables and vegetable products,"Energy-18Kcal,Water-94g,Protein-1.8g,Fat-0.0g,CHO-2.6g,Fibre-0.5g,Ash-1.1g,Ca-14.0mg,P-29.0mg,Fe-6.9mg,Na-326.0mg,K-68.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.0mg,C-10.6mg","Asparagus, canned (Asparagus dalam tin)"
Vegetables and vegetable products,"Energy-42Kcal,Water-87g,Protein-2.1g,Fat-0.0g,CHO-8.5g,Fibre-0.4g,Ash-2.0g,Ca-21.0mg,P-13.0mg,Fe-1.1mg,Na-652.0mg,K-66.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.0mg,C-0.0mg","Bamboo shoot, pickled (Rebung, dijeruk)"
"Nuts, seeds and products","Energy-627Kcal,Water-4g,Protein-14.7g,Fat-53.6g,CHO-21.4g,Fibre-2.6g,Ash-3.7g,Ca-109.0mg,P-331.0mg,Fe-3.0mg,Na-6.0mg,K-260.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.5mg,B2-0.1mg,Niacin-1.2mg,C-11.0mg","Walnut, dried; Juglans regia"
Vegetables and vegetable products,"Energy-32Kcal,Water-90.6g,Protein-2.2g,Fat-0.6g,CHO-4.4g,Fibre-0.8g,Ash-1.4g,Ca-13.0mg,P-30.0mg,Fe-2.1mg,Na-19.0mg,K-120.0mg,Retinol-0.0ug,Carotenes-15.0ug,Re-3.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.2mg,C-7.0mg",Bamboo shoot (Rebung) ; Dendrocalamus and Bambusa spp.
Vegetables and vegetable products,"Energy-35Kcal,Water-89.5g,Protein-1g,Fat-0.1g,CHO-7.5g,Fibre-1.1g,Ash-0.8g,Ca-138.0mg,P-27.0mg,Fe-0.8mg,Na-119.0mg,K-136.0mg,Retinol-0.0ug,Carotenes-2,449.0ug,Re-408.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.5mg,C-9.5mg",Carrot (Lobak merah) ; Daucas carota
Vegetables and vegetable products,"Energy-10Kcal,Water-96.4g,Protein-1.1g,Fat-0.3g,CHO-0.8g,Fibre-0.8g,Ash-0.6g,Ca-55.0mg,P-37.0mg,Fe-0.3mg,Na-9.0mg,K-141.0mg,Retinol-0.0ug,Carotenes-11.0ug,Re-2.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.2mg,C-20.8mg","Cabbage, celery, wrapped head (Wong-nga-paak) ; Brassica pekinensis var. cephalata"
Vegetables and vegetable products,"Energy-36Kcal,Water-89.1g,Protein-2.3g,Fat-0.2g,CHO-6.2g,Fibre-1.5g,Ash-0.7g,Ca-54.0mg,P-6.0mg,Fe-1.8mg,Na-34.0mg,K-75.0mg,Retinol-0.0ug,Carotenes-1,036.0ug,Re-173.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.1mg,C-15.8mg","Bean, French (Kacang buncis) ; Phaseolus vulgaris"
Vegetables and vegetable products,"Energy-40Kcal,Water-83g,Protein-1.5g,Fat-0.4g,CHO-7.7g,Fibre-1.3g,Ash-6.1g,Ca-66.0mg,P-15.0mg,Fe-2.0mg,Na-1,863.0mg,K-1,792.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.0mg,C-0.0mg","Cabbage, Chinese, salted (Hum-coy)"
